uid,title,agency,location,bid_type,blurb,legacy_score,label,note
bidnet:444125921102,Establishment and Operation of Interim Housing for Families,County of San Mateo,California,State & Local Bids,", leasing, acquiring, rehabilitating, developing, and/or constructing a facility for that purpose, including whether any already have a potential site in mind; Whether organizations would prefer to perform both",4,ignore,
bidnet:9625598967,RFP-AR-2026.831 Pathway to Stability (Temporary Respite Housing),Adams County,Colorado,Member Agency Bids,,4,pursue,
bidnet:444144904972,Essential Public Employees Workforce Housing Project,City of Lompoc,California,State & Local Bids,industries to develop a demonstration “workforce housing” project.,4,pursue,
bidnet:9622249957,RFP: Motel Shelter Rooms (for emergencies)-FED,Jefferson County,Colorado,Member Agency Bids,,4,ignore,
bidnet:444147756411,THE PLACE (HULEN) INTERIM HOUSING PROGRAM,County of Riverside,California,State & Local Bids,"(IH) known as The Place (Hulen) Interim Housing located at 2800 Hulen Place, Riverside, California.",4,pursue,
bidnet:444085650013,Contractor Prequalification Application Fiscal Year 2026-2027 - General Manufactured Housing Contractor,City of Palm Desert,California,State & Local Bids,No additional specifications were given.,4,pursue,
bidnet:2558034502,Commercial Lodging BPA - Peterson SFB,,Colorado,Federal Bids,Hotel/Motel rooms will be ordered on an as needed basis in accordance with the terms and conditions of the Blanket Purchase Agreement(s) (BPA).,4,pursue,
bidnet:444133296589,Residential Solar and Energy Storage Group Purchasing Program,City of Tempe,Arizona,State & Local Bids,installations and optional battery storage systems at reduced costs through a structured group buying model.,3,ignore,
bidnet:444119855354,Property Management Services for the Highland Creek Housing & Wellness Campus,County of San Bernardino,California,State & Local Bids,"Initial facility condition assessment and inventory of housing units, rooms, beds, common areas, equipment, keys, access devices, utilities, and building systems. d.",3,pursue,
bidnet:444086775585,2026 Affordable Rental Housing Project Utilizing HUD HOME Funding,,New Mexico,State & Local Bids,"HHH has allocated up to $2,320,285.79 of HOME Investment Partnerships grant funding from the U.S. Department of Housing and Urban Development, towards the new construction, acquisition/rehabilitation,",3,pursue,
bidnet:444144392168,CAT (CATAPILLAR) C70RX OR EQUAL RIDE-ONE SWEEPER WITH AC CABIN,City of Glendale,California,State & Local Bids,Outdoor and indoor use 2. Enclosed cabin 3. Rear view mirrors 4. Cup holder 5. Easy to use push button operator’s control panel 6. Dual front overhead LED work lights 7.,3,ignore,
bidnet:444149056311,"Gasket, housing, kit",Los Angeles County Metro Transit Authority,California,State & Local Bids,"DESCRIPTION: GASKET - EXHAUST ; HOUSING - BREATHER, ; KIT - SUPPLEMENTAL, APPROVED MFR: Cummins ; Allison APPROVED MFG#: 5316185; 5626217 ; MFG- 182795 *************DO NOT SUBSTITUTE************",3,ignore,
bidnet:444118645631,"Property Management Services for Adel Court, Palo Vista Gardens, and Campbell Village",Oakland City Housing Authority,California,State & Local Bids,"1. The professional property management company shall provide a desirable, well-maintained, habitable, and affordable place to live for an economically, racially, and ethnically integrated resident population",3,ignore,
bidnet:444142001844,Haven on the Hill Housing Project - Construction Management Services,County of Calaveras,California,State & Local Bids,"The Project consists of the construction, remodeling, rehabilitation, accessibility improvements, site improvements, building system improvements, and related work",3,ignore,
bidnet:444125845046,"Landscaping Services for Golden Gate Village in Marin City, CA",Marin Housing Authority,California,State & Local Bids,"The Housing Authority of the County of Marin (MHA) is seeking proposals from qualified landscape maintenance contractors to provide comprehensive landscape maintenance, stormwater drainage maintenance,",3,ignore,
bidnet:444099496587,"Private Public, Partnership Housing Project",,Utah,State & Local Bids,"SSnow College (“the College”), a public institution of higher education in the State of Utah, is soliciting proposals from qualified and experienced development teams to serve as a Development Partner",3,ignore,
bidnet:444137245970,Personal and Home Organizing services,Alameda City Housing Authority,California,State & Local Bids,"The Housing Authority of City of Alameda (AHA) is seeking qualified contractors to provide professional organizing, packing, unpacking, inventory, and cleanout services on an as-needed basis. Services",3,ignore,this is a service
bidnet:444128296336,Right at Home Targeted Homelessness Prevention Program,County of San Mateo,California,State & Local Bids,"A. Program Coordination and Network Management The Network Coordinator/Fiscal Agent shall coordinate implementation of the Right at Home (RAH) program across the contracted provider network, including",3,ignore,this is a service (management)
bidnet:444103307668,5296 Cole Village Infrastructure Relocation,,New Mexico,State & Local Bids,1.01 WORK INCLUDED A. Work under this Contract consists of the demolition of utilities and installation of new utility infrastructure within the area known as Cole Village housing complex on the campus,3,ignore,demolition work
bidnet:444125259607,Mass Care & Shelter services,County of Orange,California,State & Local Bids,"The County intends that the successful Respondent shall provide Mass Care & Shelter services proposed in accordance with contract requirements set forth in the solicitation and Model Contract, including Attachments",3,ignore,
bidnet:444143591604,Alto Lake Tree House Restaurant,,New Mexico,State & Local Bids,"The Village of Ruidoso is requesting written quotes to operate a restaurant, retail shop, and/or onsite rentals of personal watercraft including, but not limited to, kayaks, canoes, paddleboards, fishing",3,ignore,
bidnet:2713820462,GUMO HOUSING STUCCO,,New Mexico,Federal Bids,GUMO HOUSING STUCCO,3,ignore,trades work
bidnet:444113566666,"Professional Project Management, Construction Management, and Inspection Services for Senior and Scout House Community Center Project (D-950)",City of Manhattan Beach,California,State & Local Bids,"The City seeks an experienced consultant to assist with project management, construction management, and inspection, including special inspections, for the upcoming community center improvement project",3,ignore,management and service.  not product
bidnet:443990047593,Sonoma SHP Historic Style Event Space and Lodging,State of California - Department of Parks and Recreation,California,State & Local Bids,Cooper operated a hotel and saloon in the building.,3,ignore,
bidnet:2715924722,Commercial Internet Services for Unaccompanied Housing (UH) Dormitories,,California,Federal Bids,"*This amendment is to push the quote due date a week in anticipation of the Request for Information (RFI) responses, update quote due date is 16 September 2026 at 12:00PM PDT.* *Amendment to update SECTION",3,ignore,
bidnet:2715360662,Electronic Security Systems Upgrades at USCG Eureka Housing Area,,California,Federal Bids,"This is a combined synopsis solicitation for commercial services prepared in accordance with the format in FAR subpart 12.6, as supplemented with additional information included in this notice. This",3,ignore,
bidnet:444125259646,Licensed Real Estate Brokers for City of Tucson Residential Home Sales,City of Tucson,Arizona,State & Local Bids,"1. The fee is for the listing only, which will not be allowed to affect the terms of the existing plans or the documents of the City necessary to comply with the plans, the Contractor will be provided",3,ignore,service
bidnet:444150418990,COMMERCIAL BUILDING MAINTENANCE HOUSE CLEANING SERVICE-SOW,County of Los Angeles,California,State & Local Bids,PROVIDE SPECIALIZED CLEANING SERVICE FOR LATE 19TH CENTURY ARTIFACTS THAT ARE HOUSED AT THE VIRGINIA ROBINSON GARDENS ESTATE HOUSE MUSEUM AND POOL PAVILION. HELP SUPPORT THE OPERATIONS AT VRG BY PROVIDING,3,ignore,service
bidnet:444143591608,Development of Village of Ruidoso Owned Properties Including but Not Limited to 600 Wingfield Street and 1108 Mechem Drive and Additionally Acquired Village of Ruidoso Properties,,New Mexico,State & Local Bids,The Village is conducting a single award RFP for Development of Village of Ruidoso Owned Properties Including but not Limited to 600 Wingfield Street and 1108 Mechem Drive and Additionally Acquired Village,3,ignore,
bidnet:444140898634,Residential and Commercial Restoration Services,State of California - Department of Water Resources,California,State & Local Bids,"The Contractor agrees to provide the Department of Water Resources (DWR), residential and commercial restoration services. Description of Work The Contractor will perform an initial physical inspection",3,ignore,restoration
bidnet:444114940189,"Bldg. 351, 352, 355 - ROOF ASSEMBLY Calipatria Facility .- Housing Units, Facility D Yard",State of California - Department of Corrections and Rehabilitation (CDCR),California,State & Local Bids,"SHEET METAL PRODUCTS FOR ROOF: to include but not limited to: Cladded sheet metal provided in 4’ X 10‘ sheets, in quantities as required per plans and specifications. Fabrication of sheet metal to be",3,pursue,
bidnet:444143482074,Administration of Emergency Housing Voucher (EHV),San Francisco Housing Authority (SFHA),California,State & Local Bids,No additional specifications were given.,3,ignore,
bidnet:444134576202,Transitional Housing Program Provider,County of Merced,California,State & Local Bids,of providing supportive housing and recovery-oriented services for individuals with behavioral health needs within Merced County.,3,pursue,
bidnet:444144552326,Shelter for the Homeless- GEK Shower Resurfacing,,Utah,State & Local Bids,No additional specifications were given.,3,ignore,trades
bidnet:444137421786,Village of Ruidoso Wingfield 2 Water System Improvements Project,,New Mexico,State & Local Bids,"This project consists of the installation of approximately 5,223 linear feet of 6-inch C900 PVC waterline, fire hydrants, gate valves, combination air valves, and all related appurtenances required to",3,ignore,water systems.  not housing
bidnet:444134522501,Quieter Home Program Phase 14 Group 11,San Diego County Regional Airport Authority,California,State & Local Bids,"The magnitude of this work is in the range of $1,946,485.50. The bidder shall possess a valid California State Contractors License, classification B and shall also be certified by the Environmental Protection",3,ignore,
bidnet:444078117276,PROPERTY MANAGEMENT OF MALONGA CASQUELOURD CENTER RESIDENTIAL UNITS,City of Oakland,California,State & Local Bids,No additional specifications were given.,3,ignore,
bidnet:444141927604,"Patient Mobility Home, Vehicle Modifications and Used Modified Vehicles",,Utah,State & Local Bids,"The purpose of this RFP is to enter into a contract to provide a comprehensive range of accessibility products, installations, and ongoing maintenance to foster independence and mobility for Eligible Users",3,ignore,
bidnet:444134319841,Leon Housing Water Consolidation Project,Coachella Valley Water District,California,State & Local Bids,"The project consists of installing approximately 7,390 linear feet of 12-inch diameter water main pipe with restrained joints, including valves, fittings, polyethylene encasement, testing, disinfection",3,ignore,
bidnet:444133175908,Administration of First-time Home Buyer Loans,City of Ventura,California,State & Local Bids,1. Records Management /Reporting – The City is seeking a consultant who will maintain detailed records on the following information and report to the City on a quarterly basis: 1) number of loans requested,3,ignore,finance
bidnet:444140461939,INSTRUMENT HOUSE ROOF REPLACEMENT AT 2901 FREEPORT BLVD. (4TH AVENUE/WAYNE HULTGREN LIGHT RAIL STATION),Sacramento Regional Transit District (SacRT),California,State & Local Bids,Contractor must remove and dispose of the existing roofing system and install a new complete watertight warrantied roofing system at the SacRT Instrument House (IH) located at 2901 Freeport Boulevard (,3,ignore,trades
bidnet:444125942264,Comprehensive Asset Management and Mobile Home Park Management Services,City of La Verne,California,State & Local Bids,"Provide asset and park management services for the La Verne Mobile Country Club Mobile Home Park, located at 3620 Moreno Avenue and Valley Rancho Mobile Home Park located at 2909, Arrow Highway, in La",3,ignore,
bidnet:444137083985,Homeless Housing Assistance and Prevention Program,County of Humboldt,California,State & Local Bids,"or supportive housing units, including, without limitation, programs such as HomeKey, new or existing residential care facilities, funded by the Behavioral Health Continuum Infrastructure Program or the Community",3,ignore,
bidnet:444147160922,Property Management of City-Owned Residential Units,City of Foster City,California,State & Local Bids,"The City of Foster City is looking for a property management firm to provide leasing and property management services for the City-owned units. Required duties include, but are not limited to: A. Filling",3,ignore,
bidnet:444142314031,Transitional Residential Home Services at Tustin Family Campus,County of Orange,California,State & Local Bids,"The County of Orange, Social Services Agency (hereinafter referred to as “County”), is soliciting proposals from qualified firms (hereinafter referred to as “Respondents”) for Transitional Residential",3,ignore,
bidnet:9627082815,Title 24 – Residential Window Replacement,Midpeninsula Regional Open Space District,California,Member Agency Bids,,3,ignore,
bidnet:444144392165,Foster Family Agency Resource Family Homes Tustin Family Campus,County of Orange,California,State & Local Bids,"The purpose of this program is to serve sibling-set foster children involved with the child welfare system in a strength-based, multi-treatment residential setting that provides specialized care for children",3,ignore,
bidnet:444082127821,2026 Affordable Rental Housing Project Utilizing HUD HOME ARP Funding,,New Mexico,State & Local Bids,"This Request for Proposals (RFP) makes available $6,611,427.00 of HOME-American Rescue Plan (HOME-ARP) funds awarded to the City of Albuquerque by the U.S. Department of Housing and Urban Development (",3,ignore,
bidnet:9337567452,"Affordable Housing Development at 500 block of Sierra Avenue, Solana Beach, CA",City of Solana Beach,California,Member Agency Bids,,3,pursue,
bidnet:444085755189,Affordable Housing Development (2nd Quarterly Round),City of Santa Ana,California,State & Local Bids,housing units; and/or the new construction of housing units for rental and/or ownership housing.,3,pursue,
bidnet:444149440303,Residential Sound Insulation Program Group 12 (Construction),Los Angeles World Airports,California,State & Local Bids,"Los Angeles World Airports (LAWA) seeks experienced Contractors, teams, and/or joint ventures (Bidders) capable of providing services for the Los Angeles International Airport (LAX) Residential Sound Insulation",3,ignore,
bidnet:444151792587,Relocation and Set-up of 45-Ft. Long Single Wide Mobile Home,Karuk Tribe of California,California,State & Local Bids,"Relocation and set-up of a 45-ft. long, single-wide mobile home located at 37813 State Hwy. 96, Orleans CA. 95556. Contractor is to perform all necessary work to disconnect existing utility connections",3,ignore,
bidnet:444144552306,Transitional Housing Program for Transitional Aged Youth,County of Mendocino,California,State & Local Bids,This Request for Proposal (RFP) announces the intent of the County of Mendocino to solicit proposals from tribes and community-based organizations to provide Transitional Housing Program (THP) Services to young,3,pursue,
bidnet:444148900443,Residential and Commercial Solid Waste Services,City of Benson,Arizona,State & Local Bids,The purpose of this section is to familiarize Offerors with the requested scope of services. Offerors shall carefully review the Draft Contract and all other RFP Documents in their entirety for the complete,3,ignore,
bidnet:444127093359,Affordable Housing Development - Homekey+,County of Shasta,California,State & Local Bids,", development, acquisition, rehabilitation, and preservation of permanent supportive housing projects that embrace 'Housing First' principles to combat homelessness with a focus on veterans.",3,ignore,
bidnet:444128296333,HOME Investment Partnerships Program - American Rescue Plan (HOME-ARP) Affordable Rental Housing Development,City of Turlock,California,State & Local Bids,"This Request for Proposal (RFP) is limited to affordable rental housing development and, if applicable, nonprofit operating support and/or capacity building for nonprofit housing developers receiving a direct HOME-ARP",3,pursue,
bidnet:444128296334,HOME Investment Partnerships Program - American Rescue Plan (HOME-ARP) Supportive Services,City of Turlock,California,State & Local Bids,"The City of Turlock is announcing the availability of HOME-ARP funding for supportive services throughout Stanislaus County, excluding incorporated portions of the City of Modesto. This Request for Proposal",3,ignore,
bidnet:444148935106,"Furnish and Assemble Furniture, Fixtures, and Equipment at Harriet Tubman Village Charter School",San Diego Unified School District,California,State & Local Bids,"Furnish and assemble all furniture, fixtures, and equipment including procurement, storage, delivery, assembly and placement, and removal of all packing materials for all phases of the Project.",3,ignore,
bidnet:9330537910,"Affordable Housing Development Request for Proposals Solana Beach, CA",City of Solana Beach,California,Member Agency Bids,,3,pursue,
bidnet:444129452797,Housing Support Program,County of Alameda,California,State & Local Bids,Establish a pool of Services as Needed (SAN) contracts with eligible licensed Adult Residential Facilities (ARF) or Residential Care Facilities for the Elderly (RCFE) operators to provide Housing Support,3,ignore,
bidnet:444001744577,Interim Shelter - Bridge Housing Bed Expansion,County of Sacramento,California,State & Local Bids,"Sacramento County, Department of Health Services (DHS), Behavioral Health Services (BHS), is expanding the Behavioral Health Bridge Housing (BHBH) program and seeking qualified Successful Applicant(s) to operate",3,ignore,
bidnet:443996174049,Secured Behavioral Health Residential Facility,State of Arizona - Arizona Health Care Cost Containment System (AHCCCS),Arizona,State & Local Bids,"AHCCCS is issuing this RFP to support the development of SBHRFs authorized under A.R.S. § 36-425.06, using the $5 million appropriated in the SFY 2025–2026 General Appropriations Act for this purpose",3,ignore,
bidnet:2684916977,Temporary Lodging for USCG PSU 312,,California,Federal Bids,This is a COMBINED SYNOPSIS/SOLICITATION for commercial items/services prepared in accordance with the format in FAR Subpart 12.6 as supplemented with additional information included in this notice. This,3,ignore,
bidnet:444134522513,Emergency Sheltering Voucher (ESV) Program for Families,City of Sacramento,California,State & Local Bids,City of Sacramento issued vouchers for motel/hotel room payment for emergency sheltering in conjunction with City-provided supportive services and rehousing services.,3,ignore,
bidnet:444085542926,Contractor Prequalification Application Fiscal Year 2026-2027 - (B-2) Residential Remodeling Contractor,City of Palm Desert,California,State & Local Bids,(B-2) Residential Remodeling Contractor,3,ignore,remodeling
bidnet:443838587099,Independent Living Home Habitability Improvements Project,County of Santa Clara,California,State & Local Bids,The County of Santa Clara Health System (“County” and/or “Health System”) Behavioral Health Services Department (BHSD) seeks to award forgivable loans to qualified operators of unlicensed independent living,3,ignore,
bidnet:450411150,Special Needs Housing Program (SNHP),County of Orange,California,State & Local Bids,"Shared housing developments should include, at a minimum, 1-4 units for SNHP clients who rent a bedroom within a single family home, duplex or tri-plex or four-plex",3,ignore,
bidnet:42826735020,Emergency Shelter Care (ESC),County of Los Angeles - Department of Children and Family Services,California,State & Local Bids,"The Emergency Shelter Care (ESC) services will be provided to children between the ages of 0-17, sibling groups, teen mothers with infants, and non-minor dependents (NMDs).",3,ignore,
bidnet:443204210909,Shelter Program Property Sites,San Diego Housing Commission,California,State & Local Bids,No additional specifications were given.,3,ignore,
bidnet:443204221762,Emergency Shelter Services and Operations,San Diego Housing Commission,California,State & Local Bids,No additional specifications were given.,3,ignore,
bidnet:443811743166,Residential Small Group Home (DCFS),,Utah,State & Local Bids,The purpose of this solicitation is to contract with qualified providers to provide maximum intensive support in a residential small group setting to DHHS youth with severe behavioral or emotional needs,3,ignore,
bidnet:444073716141,Properties and Facilities for Interim Shelter Operations,San Diego Housing Commission,California,State & Local Bids,"The San Diego Housing Commission (“Commission”) is soliciting Statements of Qualifications (“SOQs”) from homeless service providers, property owners, and brokers representing property owners (collectively, “Respondents",3,ignore,
bidnet:443278919586,DHHS Emergency Placement Short-Term Shelter,,Utah,State & Local Bids,provide short-term shelter to eligible APS clients.,3,ignore,
bidnet:444074001272,HOUSING REHABILATION CONSTRUCTION SERVICES,,Utah,State & Local Bids,"I. Project Scope The Ogden City Community Development Division operates housing and neighborhood improvement programs. These initiatives are designed to revitalize neighborhoods in need, to encourage",3,ignore,
bidnet:2713766402,Z1DA--554-26-106 Replace DW Valves.,,Colorado,Federal Bids,OBJECTIVE The Department of Veterans Affairs has a requirement to install valves on water supply lines to enable individual building isolation from the campus water supply at the Rocky Mountain Regional,0,ignore,
bidnet:444124679506,Roadside Vegetation Management - USDA Grant,Town of Los Gatos,California,State & Local Bids,"Location and Description - The Project is located throughout the Town of Los Gatos and involves the treatment of 22.3 miles of roadway within the high and very high fire hazard severity zones, as described",0,ignore,
bidnet:444147160950,Heavy Duty Vehicle Repairs,City of Ventura,California,State & Local Bids,"The Contractor shall furnish all labor, supervision, tools, equipment, diagnostic systems, and parts necessary to perform repair services included: • Mechanical diagnostics • Engine repair • Transmission",0,ignore,equipment/vehicle
bidnet:2715658502,"60 FSS MWR Equipment Travis AFB, CA",,California,Federal Bids,"The 60 FSS on Travis AFB, CA has a requirement for a HEAD Ski and Snowboard equipment (Brand Name). The requirement is to procure Brand Name HEAD Ski and Snowboard equipment to replace current equipment",0,ignore,equipment
bidnet:444147864925,DPH | Food and Nutrition Services for HIV,City and County of San Francisco,California,State & Local Bids,"The Department of Public Health (hereinafter “City” or “DPH”) is issuing this Request for Proposals (hereinafter “RFP” or “Solicitation”) to seek proposals (hereinafter ""Proposals”) from qualified and",0,ignore,service
bidnet:444136018776,On-Call Architect Services,,Utah,State & Local Bids,"Davis County (the “County”) is seeking qualified professional architects (“Vendor”) to provide professional consultation, advice, and customary architectural services on an ""as-needed"" basis. ● Multi-Vendor",0,ignore,
bidnet:444129603762,Ammunition for San Diego Police Department (SDPD),City of San Diego,California,State & Local Bids,The City of San Diego Police Department (SDPD) seek to award Contract to furnish the City with Ammunition in accordance with these specifications.,0,ignore,not housing
bidnet:444139897207,2026 Single Audit Request,Los Angeles Homeless Services Authority,California,State & Local Bids,No additional specifications were given.,0,ignore,service
bidnet:444148105321,Semi-Tractors with Trailers (5) and Articulated-Bus Trailer (1),Los Angeles County Metro Transit Authority,California,State & Local Bids,No additional specifications were given.,0,ignore,
bidnet:444088063098,Mystery Rider Services,Sacramento Regional Transit District (SacRT),California,State & Local Bids,No additional specifications were given.,0,ignore,
bidnet:518924862,OPD Contract Attorney,,Montana,State & Local Bids,"Specifications include, but are not limited to: provide representation in criminal and civil matters in which OPD is appointed.",0,ignore,
bidnet:444139633271,New Light Duty Vehicle Purchases,State of Arizona - Department of Transportation,Arizona,State & Local Bids,"The State of Arizona Department of Transportation (Department) is seeking to contract with a qualified vendor(s) who can provide new vehicles (all fuel types, hybrid, and full electric) including but",0,ignore,
bidnet:444136018765,Audit Services for Cottonwood Elementary HVAC Replacement,Campbell County School District,Wyoming,State & Local Bids,Notice is hereby given that State Construction Department and Campbell County School District No. 1 have issued a Request for Proposal (“RFP”) from firms/individuals for Financial Auditing Services in,0,ignore,
bidnet:444126001896,107 W. Maple St. Redevelopment,,New Mexico,State & Local Bids,"● Size: Approximately 3.2 acres, comprising one complete city block. ● Zoning: Mixed Use (MU). Supports multi-family housing, townhomes, commercial enterprise, and walkable urban design. ● Topography",1,ignore,
bidnet:2713392827,RO Fire Protection,,California,Federal Bids,This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR Part 12. This announcement constitutes the only solicitation. Quotations are being requested,0,ignore,
bidnet:444143306040,Buccal Swab Kits,,Utah,State & Local Bids,Buccal Swab Collection Kits .,0,ignore,
bidnet:444137166499,Design-Assist Construction of the Dry Creek Wastewater Treatment Plant Expansion Project - Packages A and B,City of Roseville,California,State & Local Bids,No additional specifications were given.,0,ignore,
bidnet:444129609422,Districtwide Custodial Services,Maricopa County Community College District (MCCCD),Arizona,State & Local Bids,"Provide custodial and related services for multiple campuses and facilities located throughout Maricopa County, Arizona. MCCCD anticipates awarding contract(s) with the intent to secure service coverage",0,ignore,
bidnet:444143202046,Asphalt Paving and Seal Coating at 300 Acre Property,Rancho California Water District,California,State & Local Bids,"Rancho California Water District (District) is requesting bids from qualified contractors for construction of approximately 2,200 linear feet of new asphalt roadway over an existing dirt roadway located",0,ignore,
bidnet:444135846194,National Fitness Campaign Fitness Court® Studio,,New Mexico,State & Local Bids,Please note: This is a Sole Source Notification. The City of Artesia intends to make a sole source procurement from National Fitness Campaign LP for one (1) 2026 Fitness Court® Studio and National Campaign,0,ignore,
bidnet:2715327257,ESTUARY MODELING ASSISTANCE,,Colorado,Federal Bids,"1) This Synopsis/Solicitation Notice is to announce the U.S. Department of Interior (DOI}, U.S. Geological Survey has a requirement for Janitorial Services at The US Geological Survey's (USGS) Hammond",0,ignore,
bidnet:444147982459,ADOA On-Call Civil Engineering,State of Arizona - Department of Administration,Arizona,State & Local Bids,"Pursuant to A.R.S. § 41-2579, the Arizona Department of Administration, General Services Division (the State), is seeking to establish multiple mandatory Statewide Design Professional Service Contracts",0,ignore,
bidnet:9625582119,23073 - RES West Tower Elevators & Lobbies Design,University of Utah – U Facilities,Utah,Member Agency Bids,,0,ignore,
bidnet:9497312321,Water Pipeline Predictive Modeling and Asset Management Decision Support System,City of Aurora,Colorado,Member Agency Bids,,0,ignore,
bidnet:444146467928,Marketing & Advertising Services,Pasadena Area Community College District (Pasadena City College),California,State & Local Bids,No additional specifications were given.,0,ignore,
bidnet:42919009615,"Housing/Homelessness Facilitation, Training, Coaching, and Consultancy",City of Tucson,Arizona,State & Local Bids,"Specifications include, but are not limited to: Services provided through the City’s Housing/Homelessness Facilitation, Training, Coaching, and Consultancy Approved Vendor List will include, but are not",0,ignore,
bidnet:9490210663,RFP20260807 Trolley Park Construction Oversight/Owner’s Representative,Aurora Housing Authority,Colorado,Member Agency Bids,,0,ignore,
bidnet:444133296597,"LEUZINGER HIGH SCHOOL MAINTENANCE & OPERATIONS PROJECT - General Conditions, Finishes and Specialties",Centinela Valley Union High School District,California,State & Local Bids,No additional specifications were given.,0,ignore,
bidnet:444149297770,After-Hours Janitorial Services at the Sacramento Florin Industry Business Center (IBC) DMV Field Office,State of California - Department of Motor Vehicles,California,State & Local Bids,". General 1. Maintenance Log A. The Contractor shall maintain a weekly maintenance log (Exhibit G) confirming scheduled daily, weekly, bi-weekly, monthly, quarterly, semi-annual, and annual maintenance",0,ignore,
bidnet:444135932092,RIVERSIDE REGIONAL WATER QUALITY CONTROL PLANT HEADWORKS OVERFLOW,City of Riverside,California,State & Local Bids,"The project will provide an overflow outlet during power outages at the Regional Water Quality Control Plant. The project entails the construction of concrete valley gutter, curb, sidewalk, asphaltic concrete",0,ignore,
bidnet:444128453245,Emigrant Rest Area Rehab,,Montana,State & Local Bids,MDT is proposing a rehabilitation or reconstruction project at the Emigrant Rest Area. The decision between these two approaches will be based on an evaluation of current conditions - including structural,0,ignore,
bidnet:9602186466,BD2713 Fire Sprinkler Annual/Semi Test & Inspection,Denver Public Schools,Colorado,Member Agency Bids,,0,ignore,
bidnet:444144560254,Frampton Heights - Slash Pile Cover and Lop & Scatter,,Utah,State & Local Bids,Line Item One is Lop & Scatter for 650 acres and Line Item 2 is Cut and Pile for 101 Acres.,0,ignore,
bidnet:444139415068,"Pecos Road – Lindsay Road to Val Vista Drive, and Pecos and Auto Way Signal",Town/City of Gilbert,Arizona,State & Local Bids,This will be a Construction Manager at Risk Project pursuant to ARS Section 34-601 et seq. A general description of the Project is: GILBERT intends to design the pavement reconstruction of Pecos Road,0,ignore,
bidnet:444148935111,Group 5B Shade Shelters at 5 Sites,San Diego Unified School District,California,State & Local Bids,"furnishing all labor, materials, equipment, and supplies for this project.",0,ignore,
bidnet:9589810751,Janitorial Services,Colorado Springs Utilities,Colorado,Member Agency Bids,,0,ignore,service
bidnet:444130036171,"SALE OF THE DESERT HILLS WATER SYSTEM, THE CAVE CREEK WATER SYSTEM, AND THE CAVE CREEK WASTEWATER SYSTEM",Town of Cave Creek,Arizona,State & Local Bids,"The Town is seeking bids, subject to the requirements stated hereinafter in this IFB, for all rights in real property, including facilities, certain equipment, vehicles, and spare parts as identified",0,ignore,
bidnet:444129452764,Fiber Optic Network Public Private Partnership,City of Ventura,California,State & Local Bids,Answering services may not be used. ix. Distribution/lateral and service drop construction and permitting activities x.,0,ignore,
bidnet:444131988722,Fanning Wash Diversion Project - Construction Manager at Risk,City of Flagstaff,Arizona,State & Local Bids,"CMAR Design Phase Services by the Contractor generally include coordination with a Design Professional to review the construction documents, review and provide input on design, quantities, plans, schedules",0,ignore,
